Condition,HNRNPM,RPS13,IKZF1,LSM6,CTDP1,CCNE2,DEFA1,ITGA2,EFNB3,FABP7,TRO,MAP3K8,STAT5B,ZBTB48,RAD51,FOXN3,ARL4A,VIPR1,TGFA,IFT27,SLC38A2,FGFBP1,ORM2,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM1,ADORA2A,SLC26A1,AMMECR1,GPC4,GIT2,SLC22A18,CLOCK,SH3BGR,CLASRP,DDX10,EMP2
Healthy,9.01396,12.97655,4.58614,8.85072,7.04126,4.91235,6.64423,7.77072,5.88009,8.76886,3.89558,7.46929,5.57277,6.02164,5.13484,7.62619,10.41204,6.88136,7.26225,7.75881,11.36155,10.23931,2.3737,5.74872,8.22932,3.58658,6.95562,7.10146,8.57319,5.52453,5.40511,8.64757,8.12995,6.54105,6.36888,5.94097,7.10146,4.5589,4.10453,5.33173,5.56111,8.79993,5.32586,6.06678,5.88047,7.7326,6.83981,9.37218,7.06768,11.36675
Healthy,8.65026,13.17961,4.86123,8.71488,6.9154,4.62449,4.29159,7.91676,5.45688,8.41756,3.77705,7.95913,5.81302,6.20846,4.61311,6.70911,9.83886,7.20176,7.42259,7.58349,11.13327,10.5057,2.13014,5.59418,8.24886,4.03213,6.49025,7.43911,9.26377,5.32706,5.19672,6.3238,8.23708,5.87626,6.28164,7.19833,7.56671,5.24521,4.14234,4.96821,5.46485,8.82834,6.03165,6.0971,6.5752,8.01439,7.13032,9.38243,7.07135,11.30207
Healthy,8.49412,12.96355,4.64803,9.01073,6.55331,5.50358,4.50683,8.3302,5.73437,9.3624,3.92148,7.83974,5.44268,4.84965,5.32005,6.94306,10.89878,7.43113,6.52924,7.512,11.47343,9.56993,2.12487,5.12367,8.35827,4.56206,7.57467,7.37466,9.68828,5.19097,5.0641,6.44888,8.81005,6.27907,6.30116,6.19583,6.95195,4.95871,3.93946,5.03229,5.1078,9.26729,5.31154,5.89302,4.94923,8.09457,6.42757,9.33958,7.4672,11.06671
Healthy,9.02615,12.88973,4.54371,8.94645,7.21217,4.55678,5.11731,8.01986,5.61272,7.0386,3.9007,7.70477,5.94661,6.09596,4.37074,7.16948,10.58186,7.13197,7.48754,7.40954,10.98684,9.69496,2.33255,5.86854,8.25085,4.08366,7.12229,7.52657,9.20079,5.56107,5.32795,7.16039,7.97537,5.65672,6.63922,6.09162,6.86619,4.74397,4.17107,4.98879,5.46972,8.6091,5.59741,5.52381,6.50286,7.84068,7.33454,9.4518,7.23249,11.24255
Healthy,8.94292,13.033,5.03236,8.47401,7.15254,4.16577,4.64699,8.37526,4.46957,7.59241,3.78762,7.31416,6.11494,6.40191,5.78515,7.77115,10.3558,7.11405,6.70998,7.30061,11.39082,10.20243,2.21747,5.50709,8.28882,4.43274,7.07681,7.23231,9.43403,5.70341,5.61034,8.86179,7.6548,5.47438,5.93808,7.13281,8.53906,6.20701,4.29605,5.15317,5.40533,8.50282,6.15811,5.85081,6.43642,8.02976,6.82716,9.12721,7.04129,10.96658
Healthy,8.83847,13.08494,4.93735,8.52434,7.04602,3.73235,4.60659,7.79855,5.9406,6.34258,3.73357,7.4984,5.77014,5.95734,5.38348,7.26275,10.37246,7.32586,7.00367,7.28466,11.30311,9.83717,2.39833,5.80369,7.88881,5.1416,7.38374,6.28991,8.16478,5.6612,5.43222,5.77306,7.97055,5.10197,6.44582,4.68201,6.18124,4.24022,4.38367,5.10224,5.4079,9.02759,5.0577,6.20285,6.05524,7.7809,6.46245,9.42421,7.17881,11.39857
Healthy,8.76112,13.12097,4.02513,8.86912,7.12791,4.65859,4.38259,8.17264,5.05112,9.4314,3.5418,8.54414,5.20781,6.16837,4.74036,7.28412,10.2823,7.44316,7.70283,7.59958,11.6764,10.90612,2.23822,5.56972,8.40995,4.11969,7.41924,7.14976,8.47198,5.44466,5.37862,6.68104,7.96924,6.77971,6.51236,4.85442,6.75697,4.52639,3.96738,5.23384,5.0319,8.9209,5.86597,6.0698,6.82296,7.89883,5.52162,9.01372,7.15303,11.34788
Healthy,8.89654,12.98563,4.695,8.90283,7.07649,3.44925,6.97426,8.27307,6.03667,10.19591,3.77463,7.50956,6.09147,6.4047,4.88967,6.52466,10.33604,6.92163,7.35308,7.55406,11.10367,8.91508,2.2957,5.60186,8.13264,3.22141,6.81866,7.65039,8.97157,5.13799,5.41117,7.37353,7.7108,5.88615,6.62107,6.4715,7.55678,5.23223,4.28555,5.80945,5.23027,8.4597,5.39718,6.1176,6.41975,7.93282,6.95777,9.47829,7.51208,11.11277
Healthy,8.60291,13.35178,4.58452,8.91856,7.33263,4.00951,4.60174,7.15393,5.47722,8.37281,4.24151,7.17134,5.68272,6.66587,3.86282,6.28869,10.38886,7.65286,6.86852,6.83786,10.70138,10.41077,3.21107,5.69208,8.57171,3.64671,7.04918,7.72313,7.52945,5.55568,5.36291,9.13567,7.6921,3.24639,6.48049,6.86412,6.99161,4.68894,4.50306,5.56118,5.738,8.29519,4.01069,6.64899,7.04836,7.06087,6.92325,9.91108,6.7151,10.57655
Healthy,9.00882,12.95545,4.84752,8.27866,7.54283,4.35261,4.0792,7.84162,5.65578,8.45001,4.00231,7.27441,5.96214,6.2229,4.37084,7.20483,9.9277,7.03318,7.1972,7.53041,10.9589,9.4258,2.13649,5.67493,7.58195,3.84537,6.55684,7.49934,8.80208,5.83646,5.18474,6.14241,7.45284,5.40603,6.45177,6.88236,8.89875,5.83778,4.4233,5.26047,5.75617,8.44378,6.09361,6.21099,6.16771,8.3778,8.19728,9.38321,7.43935,10.86426
