Condition,PAMR1,CTSC,PHYHIP,CD24,WNT5A,RAB3B,WIF1,TNNC1,PARK7,MMP14,ARHGEF4,CFL1,SNRPD2,PTMA,DEFA1,ITGA2,EFNB3,FABP7,ZBTB48,TRO,MAP3K8,STAT5B,RAD51,FOXN3,CCNE2,SLC38A2,CTDP1,LSM6,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM2,ORM1,IKZF1,ARL4A,IFT27,TGFA,VIPR1,CLOCK,ITGB4
Healthy,6.48649,9.51196,8.41469,9.19118,6.29236,6.59603,9.2213,7.23519,11.03643,6.41932,6.72794,10.50043,11.51052,12.53522,4.50683,8.3302,5.73437,9.3624,4.84965,3.92148,7.83974,5.44268,5.32005,6.94306,5.50358,11.47343,6.55331,9.01073,4.56206,7.57467,7.37466,9.68828,5.19097,5.0641,6.44888,8.81005,6.27907,6.30116,6.19583,6.95195,4.95871,2.12487,3.93946,4.64803,10.89878,7.512,6.52924,7.43113,8.09457,7.80281
Healthy,6.66745,9.06169,8.66621,9.60868,6.09974,6.39195,10.1543,7.52849,10.95803,7.86926,7.34799,10.70255,11.78356,12.4023,5.11731,8.01986,5.61272,7.0386,6.09596,3.9007,7.70477,5.94661,4.37074,7.16948,4.55678,10.98684,7.21217,8.94645,4.08366,7.12229,7.52657,9.20079,5.56107,5.32795,7.16039,7.97537,5.65672,6.63922,6.09162,6.86619,4.74397,2.33255,4.17107,4.54371,10.58186,7.40954,7.48754,7.13197,7.84068,8.55558
Healthy,6.93253,9.0816,8.66776,9.11044,6.74386,6.68913,9.8392,7.25197,10.97527,7.41675,7.05835,10.81785,11.81485,12.38522,4.64699,8.37526,4.46957,7.59241,6.40191,3.78762,7.31416,6.11494,5.78515,7.77115,4.16577,11.39082,7.15254,8.47401,4.43274,7.07681,7.23231,9.43403,5.70341,5.61034,8.86179,7.6548,5.47438,5.93808,7.13281,8.53906,6.20701,2.21747,4.29605,5.03236,10.3558,7.30061,6.70998,7.11405,8.02976,9.08133
Healthy,7.67724,9.35916,8.67385,8.88268,4.96567,6.30955,9.96802,7.83135,10.88776,7.07968,7.33386,10.95898,11.94177,12.47022,4.60659,7.79855,5.9406,6.34258,5.95734,3.73357,7.4984,5.77014,5.38348,7.26275,3.73235,11.30311,7.04602,8.52434,5.1416,7.38374,6.28991,8.16478,5.6612,5.43222,5.77306,7.97055,5.10197,6.44582,4.68201,6.18124,4.24022,2.39833,4.38367,4.93735,10.37246,7.28466,7.00367,7.32586,7.7809,8.64215
Healthy,6.14892,8.74774,8.21283,9.29749,6.30748,7.02015,9.39326,8.33443,10.61147,7.28632,7.33723,10.89743,11.83891,12.25453,4.38259,8.17264,5.05112,9.4314,6.16837,3.5418,8.54414,5.20781,4.74036,7.28412,4.65859,11.6764,7.12791,8.86912,4.11969,7.41924,7.14976,8.47198,5.44466,5.37862,6.68104,7.96924,6.77971,6.51236,4.85442,6.75697,4.52639,2.23822,3.96738,4.02513,10.2823,7.59958,7.70283,7.44316,7.89883,8.29925
Healthy,6.96885,9.87218,9.68669,9.84902,6.67494,6.76678,9.74603,9.2505,10.78134,7.50402,6.47936,10.84778,11.79713,12.25129,6.97426,8.27307,6.03667,10.19591,6.4047,3.77463,7.50956,6.09147,4.88967,6.52466,3.44925,11.10367,7.07649,8.90283,3.22141,6.81866,7.65039,8.97157,5.13799,5.41117,7.37353,7.7108,5.88615,6.62107,6.4715,7.55678,5.23223,2.2957,4.28555,4.695,10.33604,7.55406,7.35308,6.92163,7.93282,8.70235
Healthy,7.28379,10.2851,9.05267,10.1771,6.13081,6.72237,10.2139,8.80512,10.86207,7.06905,6.77711,11.54709,12.26648,12.39487,4.60174,7.15393,5.47722,8.37281,6.66587,4.24151,7.17134,5.68272,3.86282,6.28869,4.00951,10.70138,7.33263,8.91856,3.64671,7.04918,7.72313,7.52945,5.55568,5.36291,9.13567,7.6921,3.24639,6.48049,6.86412,6.99161,4.68894,3.21107,4.50306,4.58452,10.38886,6.83786,6.86852,7.65286,7.06087,8.82326
Healthy,6.9288,8.95634,8.38134,9.03704,6.44055,7.27222,10.2249,8.05523,10.72836,7.48306,6.73563,10.96892,11.86867,12.34845,4.0792,7.84162,5.65578,8.45001,6.2229,4.00231,7.27441,5.96214,4.37084,7.20483,4.35261,10.9589,7.54283,8.27866,3.84537,6.55684,7.49934,8.80208,5.83646,5.18474,6.14241,7.45284,5.40603,6.45177,6.88236,8.89875,5.83778,2.13649,4.4233,4.84752,9.9277,7.53041,7.1972,7.03318,8.3778,9.09166
Healthy,7.32246,10.03665,9.00631,10.25446,2.6529,6.05628,10.02541,7.36578,10.97036,7.11297,7.13002,11.38797,12.24113,12.48867,4.66158,6.82582,5.10048,8.4745,6.85746,4.27769,7.36114,5.67772,3.44572,5.19732,4.28939,10.93295,7.41009,9.03909,2.65841,7.08688,7.28893,7.81768,6.0078,5.82141,6.64687,7.81677,4.24257,6.76016,6.87863,7.47061,4.98188,2.39212,4.23215,4.87908,10.54985,7.16433,6.64882,7.79381,6.73523,8.12765
Healthy,7.38987,9.56748,8.43876,9.5872,5.33354,6.37169,10.00257,7.0212,10.73829,7.46582,6.65603,10.8795,11.83294,12.28097,4.5057,8.41405,5.16186,11.79486,6.07834,3.64633,7.4001,5.92525,3.99077,7.55997,4.17064,11.04861,7.094,8.79517,3.92311,6.94445,7.3914,8.3537,5.46578,5.47818,6.44288,7.26689,5.95958,6.32613,5.07342,6.57434,4.52308,2.27818,4.28638,4.53843,9.90803,7.43079,6.84929,7.09526,7.86229,8.98471
Healthy,7.7213,9.54047,8.70393,9.48413,6.23563,6.62709,10.90147,6.98638,10.60546,7.63167,7.47119,11.09071,11.88377,12.28588,4.00285,8.38607,5.66012,7.64936,6.46059,3.8438,7.0045,5.7563,4.55177,6.55593,4.47341,11.36364,6.90719,8.68227,4.03027,6.88524,7.40366,8.90919,5.46896,5.44469,8.40637,7.55524,6.30428,5.53348,8.00833,7.85717,4.82339,2.16513,4.02898,5.06896,10.35612,7.03617,6.97931,7.4512,7.72342,9.45154
Healthy,6.57819,9.70407,8.71385,9.67133,8.52176,7.50041,8.76837,8.22843,10.8598,7.46599,7.08567,11.09877,11.86787,12.34074,4.17155,8.14955,5.18522,8.58554,6.20182,3.95462,7.74657,5.56657,4.49628,6.61333,5.04725,11.41124,7.06637,8.90157,5.02106,7.3394,7.29982,8.36434,5.31543,4.8417,7.93535,8.65373,6.56831,6.34349,3.75869,4.73936,4.71627,2.0893,4.17292,4.74447,10.38057,7.2886,7.62191,6.72573,8.26199,8.82878
Healthy,7.27207,10.03679,8.48738,9.14722,6.22875,7.06945,10.51065,7.52176,10.87345,7.67248,7.0552,11.04135,11.92853,12.2988,4.04873,7.83712,6.18455,5.35993,6.0913,3.73357,7.05985,5.85688,4.11476,6.77249,3.97061,11.09962,7.22339,8.88939,4.76964,7.02147,7.14735,9.00221,5.64719,5.36513,8.5788,7.51623,6.37283,6.42272,6.33107,6.95891,4.93775,2.17781,4.28745,5.08175,10.2875,7.79377,7.79377,7.39822,7.90808,9.22879
Healthy,6.06318,9.54651,9.70985,9.50234,7.20456,7.03074,8.6816,8.54488,10.49837,7.51529,7.09871,11.13423,11.93933,12.29463,4.31987,8.48407,6.12531,9.44865,6.44066,3.7374,7.31291,5.58066,4.41904,7.26672,3.55073,11.2726,6.94746,8.87393,4.5014,7.29554,7.01923,8.96683,5.54629,5.79538,8.78443,8.40335,6.15839,6.32888,3.46994,5.66729,4.9429,2.52783,4.30715,4.90166,10.56153,7.46367,7.89311,7.10867,8.05333,8.71737
