Condition,GTSE1,CHTOP,EDNRB,DNAJC8,S100A11,HNRNPM,TUG1,TFG,GAPDH,RPS3A,EMP2,ITGA2,IKZF1,IFT27,LSM6,CTDP1,CCNE2,DEFA1,FABP7,EFNB3,ORM2,TRO,OAS2,MAP3K8,STAT5B,ZBTB48,ORM1,GNE,FOXN3,CFTR,IDUA,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,CSTA,ASNS,CENPE,AKAP10,GABRP,RAD51,ARL4A,AMMECR1,VIPR1,GNAZ
AK,5.55897,11.93299,9.47245,8.33023,11.3355,9.09075,10.03775,9.29678,11.29096,13.00401,10.75292,7.42727,5.61536,7.22556,8.69318,6.21294,6.26665,4.1765,4.52628,4.67953,2.33049,4.36886,9.3485,8.05748,5.81036,6.00364,4.58781,5.9025,6.10476,3.90607,4.89918,5.57961,9.00508,6.09879,7.88215,7.34132,9.12591,5.40994,5.3438,6.45246,13.53975,8.29624,7.82057,6.59735,2.61803,5.02908,10.5988,9.65098,7.50678,5.61225
AK,5.35336,11.07033,8.43332,8.63786,10.97853,9.21962,9.51893,8.80749,11.89463,13.21389,10.0091,8.47833,4.97172,7.79875,8.96733,6.88688,5.1109,4.535,3.78777,6.2826,2.54743,4.37467,9.93696,7.33643,5.44649,5.23712,4.95861,4.94231,5.88118,3.958,5.53708,5.79188,9.19518,5.43355,7.63142,7.69473,7.1424,5.89688,5.80971,7.79972,13.27936,8.83567,7.65424,6.22688,3.24323,4.68661,10.54005,9.5807,6.57907,5.99508
AK,5.28143,11.13465,9.67603,8.62886,11.1825,9.40943,8.94654,8.84669,11.50512,13.24229,10.67634,7.01073,4.6329,7.61152,8.54844,6.19404,6.66359,4.5557,2.85189,5.98638,2.58929,4.05616,9.42913,7.8389,5.60332,5.54185,4.53632,5.01913,5.40613,3.4786,5.41359,5.39221,8.79654,5.23308,8.13539,7.54957,9.40105,5.29156,4.8698,9.23891,13.17303,8.6911,7.51208,6.35395,3.15877,5.92044,10.09257,9.31747,6.01093,5.63332
AK,5.0877,11.53382,8.55215,8.28319,11.00147,9.14907,9.52461,8.72199,11.48803,13.51017,10.71793,8.13541,4.32867,7.3363,9.15829,6.74102,7.86932,4.35738,3.85085,6.38912,2.64977,4.05194,8.60106,7.96721,6.39438,6.19983,4.39744,4.82997,6.20021,4.15313,5.40062,5.30063,9.49006,5.42181,8.76493,8.26408,7.15895,5.37162,5.12024,8.00415,13.31496,9.22455,8.96229,6.48682,3.33054,4.9019,10.27266,9.95155,6.11979,5.88953
AK,5.42247,10.33087,8.76882,7.97676,10.74466,8.11773,8.93282,8.98613,11.8014,12.89025,9.99717,8.07766,4.55993,6.41394,8.15392,6.72255,6.35841,4.51792,3.21883,6.08423,2.35167,3.89538,9.67759,8.8237,5.03155,5.94105,4.78415,4.86349,6.3623,4.7387,5.54185,5.42077,8.35223,5.72374,7.78714,6.9046,8.83529,5.76178,5.56007,6.85817,13.29507,8.48907,7.45102,6.34613,3.03461,4.38855,10.10647,9.70511,8.09596,5.78056
AK,4.55068,10.79496,9.29412,8.45455,10.55831,9.07739,8.9915,8.88241,12.06033,13.40894,11.26397,7.34246,4.76741,7.18303,8.582,7.15999,5.85961,4.20258,4.4891,5.96501,2.3374,3.74435,8.84407,7.70756,5.97351,6.11202,4.32884,4.27123,6.77618,6.65911,5.82252,5.66756,8.61074,4.50204,7.35056,6.88068,8.42578,5.80885,5.43221,8.93808,13.67202,8.53887,6.13138,6.26187,4.22084,4.63949,9.86127,9.16593,6.35155,5.49049
AK,4.39244,10.63741,8.95303,8.5604,10.19749,9.0063,9.10393,8.94629,11.79599,13.38953,10.52592,8.85153,4.91288,8.08709,8.33392,6.79968,5.48283,4.87799,6.27218,5.59699,2.00137,3.77524,6.56053,6.71588,5.73083,5.71142,4.25557,4.59641,6.71155,7.24529,5.42944,5.6755,8.8192,3.60258,6.68022,7.05215,8.17566,5.57747,5.3252,8.82331,13.71243,8.60345,6.11304,6.44838,6.71454,3.78981,9.17583,9.36095,6.89579,6.63518
AK,4.26977,10.90004,9.44594,8.51297,9.79799,9.12436,8.19327,8.20847,12.05893,13.4383,10.07386,7.535,4.98367,7.52214,8.84688,7.46281,4.85602,4.34877,5.23903,5.66421,3.07227,3.83623,7.99305,7.63851,5.71438,5.75633,4.84447,6.18987,6.23437,8.70161,5.21843,5.43344,8.53466,4.13887,6.55419,7.48717,8.85144,5.40686,5.13985,6.85743,13.35585,7.87351,5.9889,6.20381,7.85386,3.99121,9.87791,8.63229,7.76029,6.0647
AK,4.36837,11.07151,9.36505,8.5446,10.07059,9.17778,8.8419,8.30206,12.20104,13.50998,10.87532,8.26967,4.78967,7.59867,8.75511,7.61231,5.11339,4.87381,6.19726,5.7252,2.19333,3.8611,6.12935,7.0536,5.97245,6.49691,4.38888,4.89229,7.00167,7.22768,5.87527,5.75415,8.46667,3.84931,6.51597,7.79161,8.36063,5.75814,5.52621,7.53585,13.27488,8.39235,6.43528,6.69542,4.18065,4.37066,10.19167,9.48405,6.72832,5.4587
AK,4.92153,11.05003,10.54792,8.553,10.01985,8.93094,8.69148,8.46991,12.01776,13.64057,10.57873,8.77668,4.72866,7.6579,8.71817,7.32728,4.97672,4.30229,5.25809,5.50634,2.10703,3.61825,8.18765,7.80604,5.7682,5.86737,4.25732,4.68743,7.35539,6.41926,5.33799,5.45969,8.67748,4.72416,7.36102,7.15174,8.70972,5.35377,5.13068,9.75445,13.10592,7.51511,6.34789,6.55172,4.62875,4.17707,10.54061,8.85202,6.46321,5.57853
AK,4.86936,10.92894,9.19281,8.11746,10.48858,8.43875,8.52985,8.45247,12.12158,13.48834,10.27009,7.35391,4.30509,8.06383,8.9177,7.41625,5.04398,4.61597,5.94766,6.72012,2.30503,4.11395,8.55614,7.07009,5.62752,6.42392,4.58784,3.66128,5.51068,6.75252,5.8111,6.24083,8.90986,4.32292,7.2858,6.66852,6.97591,5.65121,5.50925,7.21227,13.63409,8.11797,4.50047,5.92266,5.22651,3.38541,10.64171,8.63314,7.39383,5.31756
AK,4.30615,10.85923,8.25299,8.5275,10.52739,8.60849,8.3719,9.02652,12.4359,13.51823,10.76749,7.18409,5.07838,7.06687,8.15419,7.56862,5.66592,4.72268,3.3771,5.09672,2.74367,4.21763,7.05048,8.18278,5.86282,6.21202,4.79296,4.21424,6.58682,7.37433,5.45949,6.0943,8.5902,3.66411,6.32357,6.41335,8.12695,5.49447,5.49237,6.08207,13.6303,8.22149,6.54008,6.39632,4.17178,3.89759,9.75719,8.92522,7.72636,5.33303
AK,4.71934,11.29134,9.50663,8.2303,10.20258,9.01705,8.88876,8.48222,11.86505,13.40026,10.392,8.5137,5.56466,7.54167,8.69189,7.24071,5.70383,5.3806,6.46437,4.4791,1.75375,3.56884,9.04322,7.39495,5.22724,5.80361,4.28749,5.2579,6.24599,6.97393,5.4396,5.33974,8.41958,4.44991,7.25442,7.16448,9.40046,5.39581,5.05818,6.66286,13.43584,7.78976,7.41635,6.38107,5.88642,4.37929,10.1958,9.07511,7.2424,5.64629
AK,4.64926,11.06762,8.69988,8.36105,9.79844,8.98487,8.76332,8.19684,12.04087,13.54417,10.5704,8.25384,5.51774,8.3051,8.86677,6.65775,3.79187,4.3266,10.20004,6.12151,2.37334,3.92005,7.1976,6.12577,6.02883,5.70008,4.43151,5.05783,5.96336,6.39727,5.30965,5.24711,8.3969,2.9931,7.29115,7.9859,8.05955,5.53854,5.57572,9.27073,12.92319,7.44947,7.53617,6.50186,5.53169,4.93954,10.09603,9.03854,6.18412,5.63066
